source_version,legacy_rubric_id,legacy_name,canonical_gamma_ids,mapping_type,notes
16.2,K_KennisType,Kennis & Automatisering,"[""K""]",direct,
16.2,C_CoRegulatie,Co-regulatie,"[""C""]",direct,
16.2,P_Procesfase,Procesfase,"[""P""]",direct,
16.2,TD_Taakdichtheid,Taakdichtheid,"[""TD""]",direct,
16.2,V_Vaardigheidspotentieel,Vaardigheidspotentieel,"[""VC"", ""VM"", ""VS"", ""VA""]",split,oude brede vaardigheidsrubric is opgesplitst in vier vaardigheidsdomeinen
16.2,E_EpistemischeBetrouwbaarheid,Epistemische Veiligheid,"[""E""]",direct,
16.2,T_TechnologischeIntegratieVisibility,Tool Awareness,"[""T""]",direct,
16.2,S_SocialeInteractie,Sociale Interactie,"[""S""]",direct,
16.2,L_LeercontinuiteitTransfer,Leercontinuïteit,"[""L""]",direct,
16.2,B_BiasCorrectie,Bias & Inclusie,"[""B""]",direct,
15.9,C_CoRegulatie,Co-regulatie,"[""C""]",direct,
15.9,P_Procesfase,Procesfase-specificiteit,"[""P""]",direct,
15.9,TD_Taakdichtheid,Taakdichtheid,"[""TD""]",direct,
15.9,V_Vaardigheidspotentieel,Vaardigheidspotentieel,"[""VC"", ""VM"", ""VS"", ""VA""]",split,oude brede vaardigheidsrubric is opgesplitst in vier vaardigheidsdomeinen
15.9,T_TechnologischeIntegratieVisibility,Technologische Integratie & Zichtbaarheid,"[""T""]",direct,
15.9,E_EpistemischeBetrouwbaarheid,Epistemische Betrouwbaarheid,"[""E""]",direct,
15.9,S_SocialeInteractie,Sociale Interactie,"[""S""]",direct,
15.9,L_LeercontinuiteitTransfer,Leercontinuïteit & Transfer,"[""L""]",direct,
15.9,B_BiasCorrectie,Bias-correctie & Inclusiviteit,"[""B""]",direct,
13.0,C_CoRegulatie,Co-regulatie,"[""C""]",direct,
13.0,P_Procesfase,Procesfase-specificiteit,"[""P""]",direct,
13.0,TD_Taakdichtheid,Taakdichtheid,"[""TD""]",direct,
13.0,V_Vaardigheidspotentieel,Vaardigheidspotentieel,"[""VC"", ""VM"", ""VS"", ""VA""]",split,oude brede vaardigheidsrubric is opgesplitst in vier vaardigheidsdomeinen
13.0,T_TechnologischeIntegratieVisibility,Technologische Integratie & Zichtbaarheid,"[""T""]",direct,
13.0,E_EpistemischeBetrouwbaarheid,Epistemische Betrouwbaarheid,"[""E""]",direct,
13.0,S_SocialeInteractie,Sociale Interactie,"[""S""]",direct,
13.0,L_LeercontinuiteitTransfer,Leercontinuïteit & Transfer,"[""L""]",direct,
13.0,B_BiasCorrectie,Bias-correctie & Inclusiviteit,"[""B""]",direct,
12.3,C_CoRegulatie,Co-regulatie,"[""C""]",direct,
12.3,P_Procesfase,Procesfase-specificiteit,"[""P""]",direct,
12.3,TD_Taakdichtheid,Taakdichtheid,"[""TD""]",direct,
12.3,V_Vaardigheidspotentieel,Vaardigheidspotentieel,"[""VC"", ""VM"", ""VS"", ""VA""]",split,oude brede vaardigheidsrubric is opgesplitst in vier vaardigheidsdomeinen
12.3,T_TechnologischeIntegratieVisibility,Technologische Integratie & Zichtbaarheid,"[""T""]",direct,
12.3,E_EpistemischeBetrouwbaarheid,Epistemische Betrouwbaarheid,"[""E""]",direct,
12.3,S_SocialeInteractie,Sociale Interactie,"[""S""]",direct,
12.3,L_LeercontinuiteitTransfer,Leercontinuïteit & Transfer,"[""L""]",direct,
12.3,B_BiasCorrectie,Bias-correctie & Inclusiviteit,"[""B""]",direct,
12.2,C_CoRegulatie,Co-regulatie,"[""C""]",direct,
12.2,P_Procesfase,Procesfase-specificiteit,"[""P""]",direct,
12.2,TD_Taakdichtheid,Taakdichtheid,"[""TD""]",direct,
12.2,V_Vaardigheidspotentieel,Vaardigheidspotentieel,"[""VC"", ""VM"", ""VS"", ""VA""]",split,oude brede vaardigheidsrubric is opgesplitst in vier vaardigheidsdomeinen
12.2,T_TechnologischeIntegratieVisibility,Technologische Integratie & Zichtbaarheid,"[""T""]",direct,
12.2,E_EpistemischeBetrouwbaarheid,Epistemische Betrouwbaarheid,"[""E""]",direct,
12.2,S_SocialeInteractie,Sociale Interactie,"[""S""]",direct,
12.2,L_LeercontinuiteitTransfer,Leercontinuïteit & Transfer,"[""L""]",direct,
12.2,B_BiasCorrectie,Bias-correctie & Inclusiviteit,"[""B""]",direct,
